diag;n
  R41 - Other symptoms and signs involving cognitive functions and awareness;4617     (0.62)
  E03 - Other hypothyroidism;4598     (0.62)
  Z75 - Problems related to medical facilities and other health care;4579     (0.62)
  T81 - Complications of procedures, not elsewhere classified;4569     (0.62)
  E55 - Vitamin D deficiency;4442     (0.60)
  D50 - Iron deficiency anaemia;4432     (0.60)
  E43 - Unspecified severe protein-energy malnutrition;4397     (0.59)
  Z04 - Examination and observation for other reasons;3870     (0.52)
  Z80 - Family history of malignant neoplasm;3823     (0.52)
  I70 - Atherosclerosis;3781     (0.51)
  Z99 - Dependence on enabling machines and devices, not elsewhere classified;3616     (0.49)
  J18 - Pneumonia, organism unspecified;3562     (0.48)
  R33 - Retention of urine;3494     (0.47)
  R52 - Pain, not elsewhere classified;3485     (0.47)
  R06 - Abnormalities of breathing;3440     (0.46)
  K63 - Other diseases of intestine;3376     (0.46)
  D64 - Other anaemias;3314     (0.45)
  E10 - Insulin-dependent diabetes mellitus;3307     (0.45)
  K62 - Other diseases of anus and rectum;3301     (0.45)
  K44 - Diaphragmatic hernia;3296     (0.45)
  L89 - Decubitus ulcer and pressure area;3281     (0.44)
  Z85 - Personal history of malignant neoplasm;3273     (0.44)
  M54 - Dorsalgia;3044     (0.41)
  C78 - Secondary malignant neoplasm of respiratory and digestive organs;3012     (0.41)
  R65 - Systemic Inflammatory Response Syndrome [SIRS];3005     (0.41)
  H26 - Other cataract;2989     (0.40)
  R07 - Pain in throat and chest;2972     (0.40)
  K21 - Gastro-oesophageal reflux disease;2900     (0.39)
  M17 - Gonarthrosis [arthrosis of knee];2895     (0.39)
  I20 - Angina pectoris;2882     (0.39)
  B95 - Streptococcus and staphylococcus as the cause of diseases classified to other chapters;2807     (0.38)
  E86 - Volume depletion;2773     (0.37)
  R39 - Other symptoms and signs involving the urinary system;2744     (0.37)
  G56 - Mononeuropathies of upper limb;2733     (0.37)
  C50 - Malignant neoplasm of breast;2722     (0.37)
  F00 - Dementia in Alzheimer disease;2672     (0.36)
  R29 - Other symptoms and signs involving the nervous and musculoskeletal systems;2633     (0.36)
  I49 - Other cardiac arrhythmias;2583     (0.35)
  N17 - Acute renal failure;2546     (0.34)
  K40 - Inguinal hernia;2529     (0.34)
  I83 - Varicose veins of lower extremities;2515     (0.34)
  M16 - Coxarthrosis [arthrosis of hip];2503     (0.34)
  R63 - Symptoms and signs concerning food and fluid intake;2470     (0.33)
  K80 - Cholelithiasis;2457     (0.33)
  F06 - Other mental disorders due to brain damage and dysfunction and to physical disease;2454     (0.33)
  D63 - Anaemia in chronic diseases classified elsewhere;2422     (0.33)
  R11 - Nausea and vomiting;2397     (0.32)
  Z90 - Acquired absence of organs, not elsewhere classified;2351     (0.32)
  K56 - Paralytic ileus and intestinal obstruction without hernia;2346     (0.32)
  G30 - Alzheimer disease;2306     (0.31)
  G81 - Hemiplegia;2283     (0.31)
  C79 - Secondary malignant neoplasm of other and unspecified sites;2248     (0.30)
  I44 - Atrioventricular and left bundle-branch block;2239     (0.30)
  F03 - Unspecified dementia;2162     (0.29)
  Z29 - Need for other prophylactic measures;2154     (0.29)
  S72 - Fracture of femur;2143     (0.29)
  I63 - Cerebral infarction;2125     (0.29)
  I35 - Nonrheumatic aortic valve disorders;2107     (0.28)
  N40 - Hyperplasia of prostate;2054     (0.28)
  J15 - Bacterial pneumonia, not elsewhere classified;2039     (0.28)
  J45 - Asthma;1980     (0.27)
  C77 - Secondary and unspecified malignant neoplasm of lymph nodes;1960     (0.26)
  I42 - Cardiomyopathy;1953     (0.26)
  R50 - Fever of other and unknown origin;1949     (0.26)
  R60 - Oedema, not elsewhere classified;1939     (0.26)
  Y83 - Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;1930     (0.26)
  Z87 - Personal history of other diseases and conditions;1921     (0.26)
  M25 - Other joint disorders, not elsewhere classified;1909     (0.26)
  G40 - Epilepsy;1884     (0.25)
  C61 - Malignant neoplasm of prostate;1859     (0.25)
  M23 - Internal derangement of knee;1838     (0.25)
  S06 - Intracranial injury;1831     (0.25)
  R40 - Somnolence, stupor and coma;1820     (0.25)
  I69 - Sequelae of cerebrovascular disease;1811     (0.24)
  I95 - Hypotension;1811     (0.24)
  M75 - Shoulder lesions;1796     (0.24)
  M48 - Other spondylopathies;1759     (0.24)
  D62 - Acute posthaemorrhagic anaemia;1723     (0.23)
  C34 - Malignant neoplasm of bronchus and lung;1721     (0.23)
  Z46 - Fitting and adjustment of other devices;1711     (0.23)
  R55 - Syncope and collapse;1702     (0.23)
  N30 - Cystitis;1698     (0.23)
  R47 - Speech disturbances, not elsewhere classified;1697     (0.23)
  I11 - Hypertensive heart disease;1687     (0.23)
  C44 - Other malignant neoplasms of skin;1684     (0.23)
  J90 - Pleural effusion, not elsewhere classified;1675     (0.23)
  K64 - Hemorrhoids and perianal venous thrombosis;1634     (0.22)
  I21 - Acute myocardial infarction;1602     (0.22)
  Z47 - Other orthopaedic follow-up care;1584     (0.21)
  M51 - Other intervertebral disc disorders;1577     (0.21)
  K22 - Other diseases of oesophagus;1574     (0.21)
  R57 - Shock, not elsewhere classified;1574     (0.21)
  J20 - Acute bronchitis;1567     (0.21)
  Z53 - Persons encountering health services for specific procedures, not carried out;1553     (0.21)
  I80 - Phlebitis and thrombophlebitis;1538     (0.21)
  N20 - Calculus of kidney and ureter;1532     (0.21)
  M20 - Acquired deformities of fingers and toes;1505     (0.20)
  R45 - Symptoms and signs involving emotional state;1486     (0.20)
  R13 - Dysphagia;1457     (0.20)
  I87 - Other disorders of veins;1449     (0.20)
  R00 - Abnormalities of heart beat;1444     (0.20)
  I74 - Arterial embolism and thrombosis;1439     (0.19)
  A41 - Other sepsis;1438     (0.19)
  F33 - Recurrent depressive disorder;1433     (0.19)
  Z54 - Convalescence;1429     (0.19)
  C18 - Malignant neoplasm of colon;1427     (0.19)
  B37 - Candidiasis;1425     (0.19)
  M65 - Synovitis and tenosynovitis;1420     (0.19)
  G20 - Parkinson disease;1418     (0.19)
  I34 - Nonrheumatic mitral valve disorders;1413     (0.19)
  Z88 - Personal history of allergy to drugs, medicaments and biological substances;1394     (0.19)
  G55 - Nerve root and plexus compressions in diseases classified elsewhere;1381     (0.19)
  N10 - Acute tubulo-interstitial nephritis;1340     (0.18)
  D69 - Purpura and other haemorrhagic conditions;1335     (0.18)
  U82 - Resistance to betalactam antibiotics;1334     (0.18)
  I47 - Paroxysmal tachycardia;1328     (0.18)
  J69 - Pneumonitis due to solids and liquids;1326     (0.18)
  W19 - Unspecified fall;1325     (0.18)
  M79 - Other soft tissue disorders, not elsewhere classified;1319     (0.18)
  T82 - Complications of cardiac and vascular prosthetic devices, implants and grafts;1316     (0.18)
  K20 - Oesophagitis;1300     (0.18)
  I26 - Pulmonary embolism;1285     (0.17)
  F01 - Vascular dementia;1271     (0.17)
  K76 - Other diseases of liver;1269     (0.17)
  Y44 - Agents primarily affecting blood constituents;1256     (0.17)
  K52 - Other noninfective gastroenteritis and colitis;1244     (0.17)
  M19 - Other arthrosis;1237     (0.17)
  S52 - Fracture of forearm;1208     (0.16)
  B98 - Other specified infectious agents as the cause of diseases classified to other chapters;1205     (0.16)
  R31 - Unspecified haematuria;1191     (0.16)
  K92 - Other diseases of digestive system;1188     (0.16)
  K70 - Alcoholic liver disease;1183     (0.16)
  I27 - Other pulmonary heart diseases;1181     (0.16)
  Z08 - Follow-up examination after treatment for malignant neoplasms;1168     (0.16)
  S01 - Open wound of head;1108     (0.15)
  I45 - Other conduction disorders;1104     (0.15)
  I65 - Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction;1101     (0.15)
  L97 - Ulcer of lower limb, not elsewhere classified;1086     (0.15)
  C67 - Malignant neoplasm of bladder;1085     (0.15)
  J91 - Pleural effusion in conditions classified elsewhere;1079     (0.15)
  Z43 - Attention to artificial openings;1072     (0.14)
  T84 - Complications of internal orthopaedic prosthetic devices, implants and grafts;1070     (0.14)
  D37 - Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs;1061     (0.14)
  Z60 - Problems related to social environment;1053     (0.14)
  R18 - Ascites;1047     (0.14)
  G45 - Transient cerebral ischaemic attacks and related syndromes;1046     (0.14)
  Z49 - Care involving dialysis;1025     (0.14)
  H40 - Glaucoma;1017     (0.14)
  Z98 - Other postsurgical states;1009     (0.14)
  I67 - Other cerebrovascular diseases;997     (0.13)
  K58 - Irritable bowel syndrome;997     (0.13)
  S42 - Fracture of shoulder and upper arm;988     (0.13)
  Z30 - Contraceptive management;988     (0.13)
  F31 - Bipolar affective disorder;980     (0.13)
  H35 - Other retinal disorders;971     (0.13)
  M62 - Other disorders of muscle;969     (0.13)
  N08 - Glomerular disorders in diseases classified elsewhere;969     (0.13)
  F60 - Specific personality disorders;962     (0.13)
  M47 - Spondylosis;958     (0.13)
  R51 - Headache;956     (0.13)
  M80 - Osteoporosis with pathological fracture;952     (0.13)
  D25 - Leiomyoma of uterus;950     (0.13)
  N41 - Inflammatory diseases of prostate;949     (0.13)
  S82 - Fracture of lower leg, including ankle;942     (0.13)
  J98 - Other respiratory disorders;941     (0.13)
  Z63 - Other problems related to primary support group, including family circumstances;931     (0.13)
  A46 - Erysipelas;925     (0.12)
  K43 - Ventral hernia;908     (0.12)
  S32 - Fracture of lumbar spine and pelvis;905     (0.12)
  H81 - Disorders of vestibular function;902     (0.12)
  U83 - Resistance to other antibiotics;902     (0.12)
  D68 - Other coagulation defects;883     (0.12)
  D29 - Benign neoplasm of male genital organs;879     (0.12)
  E83 - Disorders of mineral metabolism;872     (0.12)
  L02 - Cutaneous abscess, furuncle and carbuncle;870     (0.12)
  M81 - Osteoporosis without pathological fracture;865     (0.12)
  Z93 - Artificial opening status;865     (0.12)
  N13 - Obstructive and reflux uropathy;860     (0.12)
  R19 - Other symptoms and signs involving the digestive system and abdomen;853     (0.12)
  Z94 - Transplanted organ and tissue status;853     (0.12)
  A09 - Other gastroenteritis and colitis of infectious and unspecified origin;851     (0.11)
  W01 - Fall on same level from slipping, tripping and stumbling;851     (0.11)
  G31 - Other degenerative diseases of nervous system, not elsewhere classified;845     (0.11)
  K31 - Other diseases of stomach and duodenum;845     (0.11)
  F05 - Delirium, not induced by alcohol and other psychoactive substances;842     (0.11)
  S22 - Fracture of rib(s), sternum and thoracic spine;829     (0.11)
  K25 - Gastric ulcer;812     (0.11)
  N81 - Female genital prolapse;797     (0.11)
  M06 - Other rheumatoid arthritis;792     (0.11)
  I51 - Complications and ill-defined descriptions of heart disease;788     (0.11)
  R04 - Haemorrhage from respiratory passages;786     (0.11)
  E46 - Unspecified protein-energy malnutrition;781     (0.11)
  W18 - Other fall on same level;780     (0.11)
  Z37 - Outcome of delivery;774     (0.10)
  J43 - Emphysema;767     (0.10)
  E05 - Thyrotoxicosis [hyperthyroidism];763     (0.10)
  E04 - Other nontoxic goitre;760     (0.10)
  K83 - Other diseases of biliary tract;760     (0.10)
  H36 - Retinal disorders in diseases classified elsewhere;755     (0.10)
  G63 - Polyneuropathy in diseases classified elsewhere;748     (0.10)
  H91 - Other hearing loss;736     (0.10)
  N84 - Polyp of female genital tract;735     (0.10)
  E89 - Postprocedural endocrine and metabolic disorders, not elsewhere classified;732     (0.10)
  M10 - Gout;724     (0.10)
  F43 - Reaction to severe stress, and adjustment disorders;720     (0.10)
  R91 - Abnormal findings on diagnostic imaging of lung;719     (0.10)
  K42 - Umbilical hernia;717     (0.10)
  I71 - Aortic aneurysm and dissection;713     (0.10)
  G82 - Paraplegia and tetraplegia;710     (0.10)
  R70 - Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity;710     (0.10)
  R93 - Abnormal findings on diagnostic imaging of other body structures;708     (0.10)
  R32 - Unspecified urinary incontinence;707     (0.10)
  D61 - Other aplastic anaemias;697     (0.09)
  S61 - Open wound of wrist and hand;692     (0.09)
  T83 - Complications of genitourinary prosthetic devices, implants and grafts;690     (0.09)
  Z59 - Problems related to housing and economic circumstances;686     (0.09)
  Z91 - Personal history of risk-factors, not elsewhere classified;685     (0.09)
  B18 - Chronic viral hepatitis;679     (0.09)
  N23 - Unspecified renal colic;676     (0.09)
  E53 - Deficiency of other B group vitamins;675     (0.09)
  H54 - Visual impairment including blindness (binocular or monocular);665     (0.09)
  R74 - Abnormal serum enzyme levels;655     (0.09)
  I77 - Other disorders of arteries and arterioles;653     (0.09)
  F20 - Schizophrenia;651     (0.09)
  T42 - Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs;651     (0.09)
  K85 - Acute pancreatitis;636     (0.09)
  R20 - Disturbances of skin sensation;630     (0.09)
  S00 - Superficial injury of head;604     (0.08)
  R44 - Other symptoms and signs involving general sensations and perceptions;599     (0.08)
  D13 - Benign neoplasm of other and ill-defined parts of digestive system;597     (0.08)
  T80 - Complications following infusion, transfusion and therapeutic injection;594     (0.08)
  C20 - Malignant neoplasm of rectum;591     (0.08)
  G25 - Other extrapyramidal and movement disorders;590     (0.08)
  G83 - Other paralytic syndromes;588     (0.08)
  X61 - Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified;588     (0.08)
  Y43 - Primarily systemic agents;581     (0.08)
  Z42 - Follow-up care involving plastic surgery;580     (0.08)
  K81 - Cholecystitis;579     (0.08)
  G35 - Multiple sclerosis;567     (0.08)
  Z72 - Problems related to lifestyle;567     (0.08)
  D17 - Benign lipomatous neoplasm;565     (0.08)
  M15 - Polyarthrosis;563     (0.08)
  Y84 - Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure;559     (0.08)
  N85 - Other noninflammatory disorders of uterus, except cervix;556     (0.08)
  K74 - Fibrosis and cirrhosis of liver;550     (0.07)
  H53 - Visual disturbances;547     (0.07)
  M21 - Other acquired deformities of limbs;547     (0.07)
  G93 - Other disorders of brain;546     (0.07)
  R59 - Enlarged lymph nodes;541     (0.07)
  G51 - Facial nerve disorders;539     (0.07)
  G62 - Other polyneuropathies;538     (0.07)
  I61 - Intracerebral haemorrhage;538     (0.07)
  Z01 - Other special examinations and investigations of persons without complaint or reported diagnosis;538     (0.07)
  I89 - Other noninfective disorders of lymphatic vessels and lymph nodes;537     (0.07)
  T85 - Complications of other internal prosthetic devices, implants and grafts;535     (0.07)
  T79 - Certain early complications of trauma, not elsewhere classified;526     (0.07)
  K02 - Dental caries;525     (0.07)
  R64 - Cachexia;524     (0.07)
  J84 - Other interstitial pulmonary diseases;520     (0.07)
  Z82 - Family history of certain disabilities and chronic diseases leading to disablement;515     (0.07)
  I64 - Stroke, not specified as haemorrhage or infarction;512     (0.07)
  D47 - Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue;510     (0.07)
  K65 - Peritonitis;510     (0.07)
  K86 - Other diseases of pancreas;510     (0.07)
  R05 - Cough;505     (0.07)
  N80 - Endometriosis;504     (0.07)
  H02 - Other disorders of eyelid;500     (0.07)
  R34 - Anuria and oliguria;495     (0.07)
  K51 - Ulcerative colitis;493     (0.07)
  C22 - Malignant neoplasm of liver and intrahepatic bile ducts;492     (0.07)
  Z83 - Family history of other specific disorders;489     (0.07)
  K50 - Crohn disease [regional enteritis];488     (0.07)
  S02 - Fracture of skull and facial bones;488     (0.07)
  S62 - Fracture at wrist and hand level;488     (0.07)
  T88 - Other complications of surgical and medical care, not elsewhere classified;488     (0.07)
  M71 - Other bursopathies;481     (0.06)
  Z39 - Postpartum care and examination;479     (0.06)
  K72 - Hepatic failure, not elsewhere classified;477     (0.06)
  C25 - Malignant neoplasm of pancreas;476     (0.06)
  E16 - Other disorders of pancreatic internal secretion;472     (0.06)
  Z89 - Acquired absence of limb;469     (0.06)
  N83 - Noninflammatory disorders of ovary, fallopian tube and broad ligament;468     (0.06)
  I24 - Other acute ischaemic heart diseases;465     (0.06)
  R54 - Senility;464     (0.06)
  R94 - Abnormal results of function studies;463     (0.06)
  M72 - Fibroblastic disorders;462     (0.06)
  H90 - Conductive and sensorineural hearing loss;460     (0.06)
  S66 - Injury of muscle and tendon at wrist and hand level;457     (0.06)
  I46 - Cardiac arrest;453     (0.06)
  M05 - Seropositive rheumatoid arthritis;451     (0.06)
  N92 - Excessive, frequent and irregular menstruation;449     (0.06)
  I31 - Other diseases of pericardium;446     (0.06)
  N32 - Other disorders of bladder;445     (0.06)
  Y45 - Analgesics, antipyretics and anti-inflammatory drugs;444     (0.06)
  Z97 - Presence of other devices;443     (0.06)
  E88 - Other metabolic disorders;440     (0.06)
  J32 - Chronic sinusitis;436     (0.06)
  S70 - Superficial injury of hip and thigh;436     (0.06)
  K55 - Vascular disorders of intestine;433     (0.06)
  E79 - Disorders of purine and pyrimidine metabolism;430     (0.06)
  M35 - Other systemic involvement of connective tissue;429     (0.06)
  C64 - Malignant neoplasm of kidney, except renal pelvis;427     (0.06)
  Q43 - Other congenital malformations of intestine;427     (0.06)
  K91 - Postprocedural disorders of digestive system, not elsewhere classified;423     (0.06)
  Y90 - Evidence of alcohol involvement determined by blood alcohol level;413     (0.06)
  I79 - Disorders of arteries, arterioles and capillaries in diseases classified elsewhere;407     (0.05)
  N28 - Other disorders of kidney and ureter, not elsewhere classified;407     (0.05)
  I84 - Haemorrhoids;406     (0.05)
  F02 - Dementia in other diseases classified elsewhere;403     (0.05)
  K60 - Fissure and fistula of anal and rectal regions;403     (0.05)
  H33 - Retinal detachments and breaks;400     (0.05)
  I12 - Hypertensive renal disease;398     (0.05)
  D46 - Myelodysplastic syndromes;396     (0.05)
  G24 - Dystonia;396     (0.05)
  Y95 - Nosocomial condition;396     (0.05)
  J34 - Other disorders of nose and nasal sinuses;394     (0.05)
  L40 - Psoriasis;392     (0.05)
  S30 - Superficial injury of abdomen, lower back and pelvis;392     (0.05)
  S80 - Superficial injury of lower leg;392     (0.05)
  L30 - Other dermatitis;391     (0.05)
  D52 - Folate deficiency anaemia;389     (0.05)
  O80 - Single spontaneous delivery;388     (0.05)
  R03 - Abnormal blood-pressure reading, without diagnosis;386     (0.05)
  E75 - Disorders of sphingolipid metabolism and other lipid storage disorders;385     (0.05)
  R02 - Gangrene, not elsewhere classified;385     (0.05)
  J80 - Adult respiratory distress syndrome;379     (0.05)
  K35 - Acute appendicitis;379     (0.05)
  C90 - Multiple myeloma and malignant plasma cell neoplasms;378     (0.05)
  R17 - Unspecified jaundice;378     (0.05)
  B36 - Other superficial mycoses;375     (0.05)
  C56 - Malignant neoplasm of ovary;374     (0.05)
  D72 - Other disorders of white blood cells;373     (0.05)
  K30 - Dyspepsia;370     (0.05)
  L08 - Other local infections of skin and subcutaneous tissue;370     (0.05)
  Z03 - Medical observation and evaluation for suspected diseases and conditions;370     (0.05)
  A04 - Other bacterial intestinal infections;369     (0.05)
  R56 - Convulsions, not elsewhere classified;369     (0.05)
  C91 - Lymphoid leukaemia;368     (0.05)
  F22 - Persistent delusional disorders;366     (0.05)
  M24 - Other specific joint derangements;362     (0.05)
  B24 - Unspecified human immunodeficiency virus [HIV] disease;360     (0.05)
  K66 - Other disorders of peritoneum;360     (0.05)
  C83 - Non-follicular lymphoma;358     (0.05)
  L03 - Cellulitis;358     (0.05)
  J47 - Bronchiectasis;356     (0.05)
  K26 - Duodenal ulcer;355     (0.05)
  D70 - Agranulocytosis;353     (0.05)
  G99 - Other disorders of nervous system in diseases classified elsewhere;352     (0.05)
  R15 - Faecal incontinence;347     (0.05)
  R30 - Pain associated with micturition;347     (0.05)
  E14 - Unspecified diabetes mellitus;345     (0.05)
  K04 - Diseases of pulp and periapical tissues;345     (0.05)
  R42 - Dizziness and giddiness;345     (0.05)
  F07 - Personality and behavioural disorders due to brain disease, damage and dysfunction;343     (0.05)
  R25 - Abnormal involuntary movements;343     (0.05)
  C16 - Malignant neoplasm of stomach;340     (0.05)
  L72 - Follicular cysts of skin and subcutaneous tissue;340     (0.05)
  S27 - Injury of other and unspecified intrathoracic organs;340     (0.05)
  M77 - Other enthesopathies;339     (0.05)
  M11 - Other crystal arthropathies;338     (0.05)
  J42 - Unspecified chronic bronchitis;337     (0.05)
  L98 - Other disorders of skin and subcutaneous tissue, not elsewhere classified;336     (0.05)
  I15 - Secondary hypertension;334     (0.05)
  G43 - Migraine;329     (0.04)
  I85 - Oesophageal varices;323     (0.04)
  K71 - Toxic liver disease;322     (0.04)
  T45 - Poisoning by primarily systemic and haematological agents, not elsewhere classified;322     (0.04)
  M00 - Pyogenic arthritis;321     (0.04)
  M86 - Osteomyelitis;321     (0.04)
  F29 - Unspecified nonorganic psychosis;319     (0.04)
  N31 - Neuromuscular dysfunction of bladder, not elsewhere classified;319     (0.04)
  I82 - Other venous embolism and thrombosis;317     (0.04)
  O04 - Medical abortion;317     (0.04)
  D51 - Vitamin B12 deficiency anaemia;315     (0.04)
  K01 - Embedded and impacted teeth;314     (0.04)
  C43 - Malignant melanoma of skin;313     (0.04)
  J41 - Simple and mucopurulent chronic bronchitis;312     (0.04)
  T78 - Adverse effects, not elsewhere classified;312     (0.04)
  J95 - Postprocedural respiratory disorders, not elsewhere classified;311     (0.04)
  R79 - Other abnormal findings of blood chemistry;309     (0.04)
  Z35 - Supervision of high-risk pregnancy;308     (0.04)
  M89 - Other disorders of bone;305     (0.04)
  M45 - Ankylosing spondylitis;304     (0.04)
  Z00 - General examination and investigation of persons without complaint and reported diagnosis;303     (0.04)
  Z64 - Problems related to certain psychosocial circumstances;298     (0.04)
  R12 - Heartburn;297     (0.04)
  J38 - Diseases of vocal cords and larynx, not elsewhere classified;296     (0.04)
  M13 - Other arthritis;291     (0.04)
  K12 - Stomatitis and related lesions;289     (0.04)
  R46 - Symptoms and signs involving appearance and behaviour;289     (0.04)
  M43 - Other deforming dorsopathies;288     (0.04)
  E61 - Deficiency of other nutrient elements;286     (0.04)
  D35 - Benign neoplasm of other and unspecified endocrine glands;285     (0.04)
  M41 - Scoliosis;283     (0.04)
  G57 - Mononeuropathies of lower limb;282     (0.04)
  M31 - Other necrotizing vasculopathies;278     (0.04)
  S43 - Dislocation, sprain and strain of joints and ligaments of shoulder girdle;278     (0.04)
  C54 - Malignant neoplasm of corpus uteri;277     (0.04)
  C71 - Malignant neoplasm of brain;277     (0.04)
  D05 - Carcinoma in situ of breast;275     (0.04)
  M84 - Disorders of continuity of bone;275     (0.04)
  R16 - Hepatomegaly and splenomegaly, not elsewhere classified;274     (0.04)
  Y52 - Agents primarily affecting the cardiovascular system;269     (0.04)
  N87 - Dysplasia of cervix uteri;268     (0.04)
  R27 - Other lack of coordination;268     (0.04)
  R73 - Elevated blood glucose level;266     (0.04)
  S81 - Open wound of lower leg;266     (0.04)
  R09 - Other symptoms and signs involving the circulatory and respiratory systems;265     (0.04)
  N95 - Menopausal and other perimenopausal disorders;264     (0.04)
  N35 - Urethral stricture;263     (0.04)
  E21 - Hyperparathyroidism and other disorders of parathyroid gland;261     (0.04)
  C15 - Malignant neoplasm of oesophagus;260     (0.04)
  F34 - Persistent mood [affective] disorders;259     (0.03)
  C85 - Other and unspecified types of non-Hodgkin lymphoma;253     (0.03)
  I73 - Other peripheral vascular diseases;252     (0.03)
  F69 - Unspecified disorder of adult personality and behaviour;251     (0.03)
  G46 - Vascular syndromes of brain in cerebrovascular diseases;250     (0.03)
  S40 - Superficial injury of shoulder and upper arm;250     (0.03)
  Z73 - Problems related to life-management difficulty;250     (0.03)
  Z22 - Carrier of infectious disease;249     (0.03)
  C92 - Myeloid leukaemia;246     (0.03)
  I98 - Other disorders of circulatory system in diseases classified elsewhere;246     (0.03)
  K08 - Other disorders of teeth and supporting structures;245     (0.03)
  I72 - Other aneurysm and dissection;244     (0.03)
  N99 - Postprocedural disorders of genitourinary system, not elsewhere classified;244     (0.03)
  D27 - Benign neoplasm of ovary;242     (0.03)
  T43 - Poisoning by psychotropic drugs, not elsewhere classified;242     (0.03)
  S20 - Superficial injury of thorax;241     (0.03)
  N43 - Hydrocele and spermatocele;239     (0.03)
  Y40 - Systemic antibiotics;238     (0.03)
  Z13 - Special screening examination for other diseases and disorders;238     (0.03)
  L29 - Pruritus;237     (0.03)
  B99 - Other and unspecified infectious diseases;236     (0.03)
  C19 - Malignant neoplasm of rectosigmoid junction;229     (0.03)
  C73 - Malignant neoplasm of thyroid gland;229     (0.03)
  Z41 - Procedures for purposes other than remedying health state;226     (0.03)
  F50 - Eating disorders;225     (0.03)
  E13 - Other specified diabetes mellitus;224     (0.03)
  S83 - Dislocation, sprain and strain of joints and ligaments of knee;224     (0.03)
  L90 - Atrophic disorders of skin;223     (0.03)
  S46 - Injury of muscle and tendon at shoulder and upper arm level;223     (0.03)
  Z65 - Problems related to other psychosocial circumstances;221     (0.03)
  N62 - Hypertrophy of breast;220     (0.03)
  M50 - Cervical disc disorders;217     (0.03)
  I30 - Acute pericarditis;215     (0.03)
  D41 - Neoplasm of uncertain or unknown behaviour of urinary organs;214     (0.03)
  N21 - Calculus of lower urinary tract;214     (0.03)
  M99 - Biomechanical lesions, not elsewhere classified;213     (0.03)
  M87 - Osteonecrosis;211     (0.03)
  N47 - Redundant prepuce, phimosis and paraphimosis;211     (0.03)
  Y54 - Agents primarily affecting water-balance and mineral and uric acid metabolism;210     (0.03)
  N11 - Chronic tubulo-interstitial nephritis;209     (0.03)
  Y88 - Sequelae with surgical and medical care as external cause;209     (0.03)
  Y42 - Hormones and their synthetic substitutes and antagonists, not elsewhere classified;207     (0.03)
  G95 - Other diseases of spinal cord;206     (0.03)
  J81 - Pulmonary oedema;206     (0.03)
  R77 - Other abnormalities of plasma proteins;206     (0.03)
